Disease	Disease_Cui	Drug	Drug_Cui
Myotonic Dystrophy	C0027126	Prasterone	C0011185
Myotonic Dystrophy	C0027126	Mexiletine	C0025887
Myotonic Dystrophy	C0027126	Tideglusib	C3273375
Myasthenic Syndromes, Congenital	C0751882	Salbutamol	C0001927
Myasthenic Syndromes, Congenital	C0751882	Pyridostigmine	C0034261
Zellweger Syndrome	C0043459	Hydroxychloroquine	C0020336
Zellweger Syndrome	C0043459	Chenodeoxycholic acid	C0008024
Zellweger Syndrome	C0043459	Chenodeoxycholic acid	C0085994
Zellweger Syndrome	C0043459	Cholic Acid	C0055568
Zellweger Syndrome	C0043459	Ursodeoxycholic acid	C0042105
Machado-Joseph Disease	C0024408	Dalfampridine	C0000477
Machado-Joseph Disease	C0024408	Dalfampridine	C1449659
Machado-Joseph Disease	C0024408	Troriluzole	C5139823
Machado-Joseph Disease	C0024408	Taltirelin	C0084707
Machado-Joseph Disease	C0024408	Varenicline	C1569608
Machado-Joseph Disease	C0024408	Lithium carbonate	C0085217
Machado-Joseph Disease	C0024408	Lithium carbonate	C0700189
Machado-Joseph Disease	C0024408	Phenylbutyric acid	C0170531
Machado-Joseph Disease	C0024408	Phenylbutyric acid	C0281398
Machado-Joseph Disease	C0024408	Trehalose	C0040815
EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508	Pyridoxine	C0034272
EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508	Pyridoxine	C0087162
Congenital disorder of glycosylation type 1A	C0349653	Acetazolamide	C0000981
Congenital disorder of glycosylation type 1A	C0349653	Gelatin	C0017237
Congenital disorder of glycosylation type 1A	C0349653	Lactose	C0022949
Congenital disorder of glycosylation type 1A	C0349653	Epalrestat	C0095278
Phenylketonuria II	C0268465	Sapropterin	C0048897
Myotonic Dystrophy	C0027126	Erythromycin	C0014806
Myotonic Dystrophy	C0027126	Erythromycin C	C0600214
Myotonic Dystrophy	C0027126	Metformin	C0025598
Machado-Joseph Disease	C0024408	Monosialotetrahexosylganglioside	C0016895
Machado-Joseph Disease	C0024408	Valproic acid	C0042291
Myasthenic Syndromes, Congenital	C0751882	Fluoxetine	C0016365
