Drug_Target,GROUNDTRUTH
C2343853_C0878773,1
C0288171_C0020538,1
C2001572_C0004238,1
C0298130_C0004096,1
C0014025_C0020538,1
C0167117_C0007222,1
C4519199_C0149931,1
C0286651_C0007222,1
C0072973_C0018802,1
C2348066_C0020538,1
C0759933_C0149931,1
C1723401_C0026896,1
C0966225_C0004096,1
C0001888_C0004238,1
C0012265_C0018801,1
C2982078_C0004096,1
C0042874_C0007222,1
C0969677_C0007222,1
C0016229_C0004238,1
C1722260_C0004096,1
C1456408_C0028754,1
C0136123_C0020538,1
C1176308_C0018801,1
C0114873_C0020538,1
C0969324_C0004096,1
C0054196_C0004238,1
C0054196_C0020538,1
C0071097_C0028754,1
C0005320_C0020538,1
C0009014_C0020538,1
C1120110_C0020538,1
C0002575_C0004096,1
C1257689_C0004096,1
C0070359_C0028754,1
C0055723_C0018802,1
C0033497_C0149931,1
C0137984_C0014544,1
C0015840_C0004096,1
C0016295_C0149931,1
C0054015_C0018802,1
C0060135_C0014544,1
C0893761_C0014544,1
C0772089_C0878773,1
C0754647_C0149931,1
C0002412_C0026896,1
C0010347_C0004096,1
C0086073_C0004096,1
C1958612_C0028754,1
C0216784_C0020538,1
C0024027_C0007222,1
C4078709_C0018801,1
C3660996_C0004096,1
C4505936_C0149931,1
C0041175_C0020538,1
C1620287_C0948089,1
C0076829_C0014544,1
C0012022_C0020538,1
C0052944_C0004096,1
C0022176_C0004096,1
C0051696_C0020538,1
C0008742_C0004096,1
C0764105_C0004096,1
C0025681_C0020538,1
C0031495_C0028754,1
C0008294_C0020538,1
C2934030_C0027051,1
C0015827_C0028754,1
C0022860_C0020538,1
C0029904_C0018801,1
C0029904_C0004238,1
C0247025_C0948089,1
C0388753_C0878773,1
C0246904_C0018802,1
C0246904_C0018801,1
C0969589_C0004096,1
C0083536_C0020538,1
C0041964_C0020538,1
C0126174_C0020538,1
C3490329_C0019151,1
C0377265_C0014544,1
C0043031_C0004238,1
C0031507_C0014544,1
C0042071_C0027051,1
C0068897_C0014544,1
C4520219_C0007222,1
C1876199_C0004096,1
C0000946_C0020538,1
C0006938_C0020538,1
C0025859_C0020538,1
C0012963_C0018801,1
C0076840_C0018802,1
C0011185_C0007222,1
C0038779_C0007222,1
C0020223_C0020538,1
C0040958_C0020538,1
C0053799_C0020538,1
C0907850_C0004096,1
C0303689_C0004096,1
C0031855_C0007222,1
C1099677_C0878773,1
C0002333_C0014544,1
C0291140_C0004096,1
C0060470_C0007222,1
C1722267_C0004096,1
C0248719_C0020538,1
C0528166_C0149931,1
C0006863_C0014544,1
C0022026_C0007222,1
C1142933_C0028754,1
C0025842_C0149931,1
C0012373_C0020538,1
C0914729_C0149931,1
C0145185_C0020538,1
C0526399_C0020538,1
C0666743_C0004096,1
C4238106_C0004096,1
C4490035_C0004096,1
C5139827_C0878773,1
C0016860_C0018802,1
C0961485_C0018801,1
C0069751_C0014544,1
C0042523_C0020538,1
C0965618_C0004096,1
C0060180_C0020538,1
C0013615_C0026896,1
C0041014_C0018802,1
C0055891_C0014544,1
C0297635_C0149931,1
C0071129_C0004096,1
C0540623_C0149931,1
C0028126_C0014544,1
C0040815_C0948089,1
C0020261_C0020538,1
C0041038_C0014544,1
C0033148_C0014544,1
C0026056_C0014544,1
C0012291_C0149931,1
C4519126_C0149931,1
C2974521_C0027051,1
C0054836_C0018802,1
C1999375_C0027051,1
C0032912_C0018802,1
C0032912_C0020538,1
C0530684_C0014544,1
C0118168_C0020538,1
C0026196_C0020538,1
C0063757_C0007222,1
C0529351_C0878773,1
C0054201_C0004096,1
C1948374_C0004096,1
C0031412_C0014544,1
C2932035_C0018801,1
C0075632_C0149931,1
C3657549_C0014544,1
C1722267_C0030567,1
C0023863_C0149931,1
C2933912_C0030567,1
C2350948_C0028754,1
C0055021_C0020538,1
C0029309_C0242422,1
C0969589_C0024117,1
C1098261_C0030567,1
C0077497_C0004096,1
C0055723_C0020538,1
C3272698_C0017205,1
C0673470_C0030567,1
C0075783_C0020538,1
C3490348_C0011860,1
C2935023_C0004096,1
C1321596_C0220756,1
C0030040_C0020538,1
C0031007_C0242422,1
C2935023_C0024117,1
C1958126_C0011860,1
C2353951_C0011860,1
C1570906_C0011860,1
C0006949_C0014544,1
C0030883_C0014544,1
C0961485_C0020538,1
C0040864_C0004096,1
C0033254_C0030567,1
C0040964_C0030567,1
C0061323_C0011860,1
C0064636_C0014544,1
C0025815_C0004096,1
C0071097_C0011860,1
C1999375_C0948089,1
C0527379_C0020538,1
C0012265_C0004238,1
C0034414_C0004238,1
C0023570_C0242422,1
C0039771_C0004096,1
C0011777_C0004096,1
C0286651_C0038454,1
C0004147_C0027051,1
C0116569_C0004238,1
C0068475_C0020538,1
C0051696_C0038454,1
C0002403_C0030567,1
C0085542_C0038454,1
C0006949_C0494475,1
C0248719_C0038454,1
C0034261_C0026896,1
C0649350_C0002395,1
C0042523_C0004238,1
C2746078_C0011860,1
C0065374_C0027051,1
C0066700_C0004096,1
C0025029_C0020538,1
C0027679_C0026896,1
C0006982_C0030567,1
C0023570_C0030567,1
C0032952_C0004096,1
C0005308_C0004096,1
C0009011_C0270846,1
C0005578_C0242422,1
C0025859_C0027051,1
C0025859_C0948089,1
C0006982_C0242422,1
C0072973_C0038454,1
C0031507_C0494475,1
C0022265_C0020538,1
C0002403_C0242422,1
C0004147_C0020538,1
C0244821_C0030567,1
C0037982_C0020538,1
C0012010_C0014544,1
C0014710_C0149931,1
C0025741_C0020538,1
C0032950_C0004096,1
C0033497_C0004238,1
C0079466_C0020538,1
C0028351_C0004096,1
C1611934_C0011860,1
C0028193_C0020538,1
C0005578_C0030567,1
C0028005_C0020538,1
C0070166_C0948089,1
C0039245_C0002395,1
C0039925_C0014544,1
C1456408_C0011860,1
C0027603_C0019151,1
C0027603_C0019147,1
C0025598_C0011860,1
C0965129_C0038454,1
C0033148_C0494475,1
C0042523_C0948089,1
C0027302_C0020538,1
C0050393_C0011860,1
C0004057_C0149931,1
C0699278_C0149931,1
C1700683_C0030567,1
C0033429_C0004238,1
C0027235_C0024117,1
C0700580_C0024117,1
C0033254_C0242422,1
C0040964_C0242422,1
C0027396_C0149931,1
C0041009_C0242422,1
C0073374_C0019151,1
C0060501_C0004096,1
C1565750_C0011860,1
C0012582_C0004238,1
C0005098_C0030567,1
C0527316_C0002395,1
C0173083_C0268490,1
C0064636_C0494475,1
C0003596_C0030567,1
C0002502_C0020538,1
C0165921_C0030567,1
C0020268_C0004096,1
C0031412_C0494475,1
C0007299_C0020538,1
C0144576_C0020538,1
C0678133_C0020538,1
C0074554_C0038454,1
C0041009_C0030567,1
C0039542_C0004096,1
C0039543_C0004096,1
C0048897_C0751434,1
C0005098_C0242422,1
C0036579_C0030567,1
C0076107_C0020538,1
C0033497_C0007194,1
C0039623_C0020179,1
C0024002_C0270846,1
C0030817_C0019202,1
C0042291_C0014544,1
C0080356_C0014544,1
C0074710_C0030567,1
C0022245_C0018790,1
C0072973_C0020538,1
C0037707_C0004238,1
C0040374_C0011860,1
C0031412_C0149931,1
C0006230_C0030567,1
C0029193_C0004096,1
C0035179_C0020538,1
C0033497_C0020538,1
C0006644_C0149931,1
C0040233_C0020538,1
C0017687_C0020615,1
C0031937_C0020538,1
C0065374_C0020538,1
C0031444_C0027051,1
C0012373_C0004238,1
C0028066_C0020538,1
C0018318_C0020538,1
C0246330_C0030567,1
C0016860_C0020538,1
C0525678_C0030567,1
C1321596_C0017205,1
C0030557_C0020538,1
C0054836_C0020538,1
C0016967_C0002395,1
C0004057_C0027051,1
C0699278_C0027051,1
C0018312_C0020538,1
C0053799_C0004238,1
C2934193_C0024117,1
C3661274_C0024117,1
C2974521_C0038454,1
C0085208_C0028754,1
C0027360_C0028754,1
C0069392_C0004096,1
C0146337_C0004096,1
C0022616_C0020538,1
C0795635_C0011860,1
C0031979_C0242422,1
C0000378_C0030567,1
C0754022_C0002986,1
C2698220_C0002986,1
C0014025_C0018802,1
C4277781_C0020179,1
C4519232_C0024117,1
C0004482_C0026896,1
C1948374_C0024117,1
C0905464_C0004238,1
C3661274_C0004096,1
C0006050_C0878773,1
C2719424_C0878773,1
C2719767_C0878773,1
C2930113_C0878773,1
C1739768_C0004238,1
C1739768_C0948089,1
C4033447_C0020538,1
C0292818_C5203670,1
C0048897_C0751436,1
C0009262_C0007222,1
C0070166_C0004238,1
C0173083_C0002066,1
C0025241_C0026896,1
C4279743_C0020538,1
C0257190_C0018802,1
C0257190_C0007222,1
C0257190_C0004238,1
C0025681_C0007222,1
C0030858_C0007222,1
C0039736_C0002395,1
C0029309_C0030567,1
C2699871_C0011849,1
C2699871_C0023890,1
C2699871_C0023895,1
C1516119_C0020541,1
C1516119_C0023895,1
