val@1_ori,val@1_rev,val@2_ori,val@2_rev,pair
0.0,0.0,0.0,0.0,C0038418_C0878773
0.0,0.0,0.0,0.0,C0038418_C0020538
0.0,0.0,0.0,0.0,C0038418_C0025521
0.0,0.0,0.0,0.0,C0038418_C0085584
0.0,0.0,0.0,0.0,C0038418_C0004238
0.0,0.0,0.0,0.0,C0038418_C0494475
0.0,0.0,0.0,0.0,C0038418_C0268579
0.0,0.0,0.0,0.0,C0038418_C0087012
0.0,0.0,0.0,0.0,C0038418_C0004096
0.0,0.0,0.0,0.0,C0038418_C0011168
0.0,0.0,0.0,0.0,C0038418_C0268250
0.0,0.0,0.0,0.0,C0038418_C0270846
0.0,0.0,0.0,0.0,C0038418_C0442874
0.0,0.0,0.0,0.0,C0038418_C0019202
0.0,0.0,0.0,0.0,C0038418_C0154246
0.0,0.0,0.0,0.0,C0038418_C0268251
0.0,0.0,0.0,0.0,C0038418_C0023521
0.0,0.0,0.0,0.0,C0038418_C0878544
0.0,0.0,0.0,155.11794058854812,C0038418_C0038454
0.0,0.0,0.0,0.0,C0038418_C0011849
0.0,0.0,0.0,0.0,C0038418_C0026848
0.0,0.0,0.0,0.0,C0038418_C0001125
0.0,0.0,0.0,0.0,C0038418_C0014544
0.0,0.0,0.0,0.0,C0038418_C0024776
0.0,0.0,0.0,0.0,C0038418_C0002066
0.0,0.0,0.0,0.0,C0038418_C0751435
0.0,0.0,0.0,0.0,C0038418_C1961835
0.0,0.0,0.0,0.0,C0038418_C0162309
0.0,0.0,0.0,0.0,C0038418_C0019147
0.0,0.0,0.0,0.0,C0038418_C0020615
0.0,0.0,0.0,0.0,C0038418_C0031485
0.0,0.0,0.0,0.0,C0038418_C0023890
0.0,0.0,0.0,0.0,C0038418_C0242422
0.0,0.0,0.0,0.0,C0038418_C0025517
0.0,0.0,0.0,0.0,C0038418_C0268542
0.0,0.0,310.23588117709625,155.11794058854812,C0038418_C0948089
0.0,0.0,0.0,0.0,C0038418_C0018802
0.0,0.0,0.0,0.0,C0038418_C1145670
0.0,0.0,0.0,0.0,C0038418_C0011860
0.0,0.0,0.0,0.0,C0038418_C1527231
0.0,0.0,0.0,0.0,C0038418_C0524851
0.0,0.0,0.0,0.0,C0038418_C0019247
0.0,0.0,0.0,0.0,C0038418_C0268490
0.0,0.0,0.0,0.0,C0038418_C0149931
0.0,0.0,0.0,0.0,C0038418_C0027126
0.0,0.0,0.0,0.0,C0038418_C1849508
0.0,0.0,0.0,0.0,C0038418_C2931688
0.0,0.0,0.0,0.0,C0038418_C0027765
0.0,0.0,0.0,0.0,C0038418_C0751434
0.0,0.0,0.0,0.0,C0038418_C0752120
0.0,0.0,0.0,0.0,C0038418_C0024408
0.0,0.0,0.0,0.0,C0038418_C0349653
0.0,0.0,0.0,0.0,C0038418_C0020541
0.0,0.0,0.0,0.0,C0038418_C0220756
0.0,0.0,0.0,0.0,C0038418_C0751436
0.0,0.0,0.0,0.0,C0038418_C0751882
0.0,0.0,0.0,0.0,C0038418_C0162671
0.0,0.0,0.0,0.0,C0038418_C0002986
0.0,0.0,0.0,0.0,C0038418_C0018790
0.0,0.0,0.0,0.0,C0038418_C0026850
0.0,0.0,0.0,0.0,C0038418_C0030567
0.0,0.0,0.0,0.0,C0038418_C0007222
0.0,0.0,0.0,0.0,C0038418_C0023895
0.0,0.0,0.0,0.0,C0038418_C0007194
0.0,0.0,0.0,0.0,C0038418_C0019151
0.0,0.0,0.0,0.0,C0038418_C0043459
